Property;;;
actorIsInvolved;;;
actorLegalPerson;SIMPLE:actorname;;
actorRole;SIMPLE:actorRoles;;
address;SIMPLE: actorAddress;SIMPLE:addressName;
addressCountry;;;
addressNumber;SIMPLE:addressNumber;;
berthCode;;;
broader;;;
bulkVolume;;;
cargoMaximumTemperature;;;
cargoMaximumVolume;;;
cargoMaxSize;;;
cargoMinimumSize;;;
cargoMinimumTemperature;;;
cargoMinimumVolume;;;
cargoTareWeight;;;
cargoTemperature;SIMPLE:temperature;;
cargoWeight;;;
city;SIMPLE:city;;
connectedToSealingParty;;;
containedInPlace;;;
containerNumber;SIMPLE:equipmentID;;
containerSize;;;
containerType;SIMPLE:codeITU;;
containsPlace;;;
country;SIMPLE:country;;
country;;;
damageRemarks;SIMPLE:damageRemarks;;
dangerousGoodsRegulationCode;;;
digitalContactId;SIMPLE:actorWebsite;SIMPLE:actorEmail;SIMPLE:actorPhoneNumber
documentID;SIMPLE:externalConsignmentId;SIMPLE:externalShipmentId;
documentVersion;;;
dryBulk;;;
elevation;;;
ems_id;;;
equipmentCategoryCode;;;
equipmentContainerITUCode;;;
equipmentProperties;;;
equipmentSize;;;
equipmentTypeCode;;;
equipmentTypeCode;;;
externalReference;Flowertrucks:Kenmerk;;
externalReferenceProvider;;;
externalReferenceResource;;;
finalState;;;
geonamesReference;;;
goodsDescription;SIMPLE:goodDescription;;
goodsNumbers;SIMPLE:idNumber;;
goodsTypeCode;SIMPLE:goodTypecode;;
goodsTypeCode;;;
grossWeight;SIMPLE:grossWeight;SIMPLE:goodGrossMass;
harmonizedSystemCode;;;
hasDangerousGoodsRegulationCode;SIMPLE:dangerousGoods;;
hasDocumentType;;;
hasFlashpointTemperature;;;
hasGateNumber;;;
hasGrossMass;;;
hasManager;;;
hasMRN_Number;;;
hasNumberOfCollies;;;
hasOperator;;;
hasSealConditionCode;;;
hasTransportmeansNationality;SIMPLE:nationality;;
hasUnitsOfMeasure;;;
hasVIN;;;
hazardouseMaterialDetail;;;
hazmatUNCode;;;
identifier;;;
InfrastructuralFunctionProperty;;;
infrastructuralRole;;;
initialState;;;
interaction;;;
involves;;;
involvesActor;;;
involvesAssociationEvent;;;
involvesBusinessIdentifier;;;
involvesDigitalTwin;;;
involvesDigitalTwinURI;;;
involvesExternalReference;;;
involvesLocation;;;
involvesMilestone;;;
involvesMilestone;;;
involvesPackagingType;;;
involvesPlace;;;
involvesTimeClassification;;;
involvesTimeClassification;;;
involvesTimestamp;Flowertrucks:loadingDate;;
involvesTransportMeans;;;
isEmpty;SIMPLE:isEmpty;;
isFull;;;
isPartOfLocationRole;;;
latitude;;;
legalPersonCountry;;;
legalPersonName;;;
loadCapacity;;;
locatedAt;;;
locationRole;;;
locode;;;
locomotiveBrakeType;;;
locomotiveBrakeWeight;;;
locomotiveDriverIndication;;;
lcomotiveId;SIMPLE:transportMeansId;;
locomotiveTractionType;;;
locomotiveTypeNumber;;;
longitude;;;
name;Flowertrucks:Naam;Flowertrucks:loadingLocation;
name;;;
narrower;;;
natureOfCargo;;;
netLoad;;;
netMass;;;
numberofPackages;SIMPLE:numberOfPackages;;
numberOfTEU;;;
packageCode;SIMPLE:packagingType;;
packageLevelType;;;
packageProperties;;;
packageTypeName;Flowertrucks:euroDV/blokDV;;
PackageTypeNumericCode;;;
packageTypeNumericCode;;;
packagingDangerLevelCode;;;
PhysicalObjectProperties;;;
portSecurityLevel;;;
productName;;;
productProperties;;;
properShippingName;;;
recipientRole;;;
relatedSealingPartyRoleCode;;;
sealIndicator;SIMPLE:sealIndicator;;
sealProperties;;;
sealQuantity;;;
securityMeasure;;;
senderRole;;;
shippingMarks;SIMPLE:shippingMark;;
size;SIMPLE:goodSize;;
source;;;
state;;;
tareWeight;;;
target;;;
terminalDescription;;;
terminalName;SIMPLE:nodeName;;
terminalName;SIMPLE:nodeCode;;
totalLoadCapacity;;;
trailerLicensePlate;SIMPLE:trailerId;;
TrajectoryProperty;;;
transition;;;
transportMeansMode;SIMPLE:transportModality;;
transportMeansProperties;;;
truckLicensePlate;;;
typeOfCargo;SIMPLE:cargoType;;
UNDGCode;;;
vesselName;;;
vesselType;;;
voyageNumber;;;
wagonBrakeType;;;
wagonBrakeWeight;;;
wagonId;SIMPLE:wagonId;;
wagonMaximumSpeed;;;
wagonNrAxel;;;
zipCode;SIMPLE:zipcode;Flowertrucks:Postcode;
