Node,Attribute,Value
messageType,label,messageType
messageType,value,eventDetailed
message.externalConsignmentId,label,externalConsignmentId
message.externalConsignmentId,value,222
message.externalEventId,label,externalEventId
message.externalEventId,value,53
message.place.placeLocalization.terminalNode.nodeCode,label,nodeCode
message.place.placeLocalization.terminalNode.nodeCode,value,62105
message.place.dateTimeType.dateTime,label,dateTime
message.place.dateTimeType.dateTime,value,2024-06-17T17:15:00.000+02:00
message.place.dateTimeType.type,label,type
message.place.dateTimeType.type,value,Actual
message.eventType,label,eventType
message.eventType,value,ARRIVAL_EVENT
message.externalReferences[0].type,label,type
message.externalReferences[0].type,value,event_reference
message.externalReferences[0].id,label,id
message.externalReferences[0].id,value,E-00001
operationType,label,operationType
operationType,value,CREATE
