Node,Attribute,Value
messageType,label,messageType
messageType,value,shipmentDetailed
message,label,message
message,value,"{'externalShipmentId': 'ES24D44444444FXHCUHCT', 'contractCarriageCondition': 'NA', 'involvedActors': [{'actorAddress': None, 'actorId': 'D44444444', 'actorName': 'Company D', 'actorRoles': ['LogisticRoles_TransportOperator'], 'actorWebSite': None, 'actorEmail': 'Simple4shipment@gmail.com', 'actorPhoneNumber': None}, {'actorAddress': None, 'actorId': 'A11111111', 'actorName': 'Company B', 'actorRoles': ['LogisticRoles_Consignor'], 'actorWebSite': None, 'actorEmail': None, 'actorPhoneNumber': None}, {'actorAddress': None, 'actorId': 'B22222222', 'actorName': 'Company A', 'actorRoles': ['LogisticRoles_Consignee'], 'actorWebSite': None, 'actorEmail': 'Juavie10@gmail.com', 'actorPhoneNumber': None}, {'actorAddress': None, 'actorId': 'C33333333', 'actorName': 'Company C', 'actorRoles': ['LogisticRoles_DispatchParty'], 'actorWebSite': None, 'actorEmail': None, 'actorPhoneNumber': None}], 'origin': {'placeLocalization': {'addressName': None, 'addressNumber': None, 'location': {'zipCode': None, 'city': {'name': None, 'cityLoCode': 'ES MAD'}, 'country': {'name': None, 'unLoCode': 'ES'}}, 'roadType': None, 'terminalNode': None}, 'dateTimeType': {'dateTime': '2024-09-16T11:46:45.000+02:00', 'type': 'Estimated'}}, 'destination': {'placeLocalization': {'addressName': None, 'addressNumber': None, 'location': {'zipCode': None, 'city': {'name': None, 'cityLoCode': 'ES SVQ'}, 'country': {'name': None, 'unLoCode': 'ES'}}, 'roadType': None, 'terminalNode': None}, 'dateTimeType': {'dateTime': '2024-09-23T13:15:48.000+02:00', 'type': 'Estimated'}}, 'equipments': [{'equipmentId': 'JSVU12453627', 'equipmentType': {'code': 'CN', 'description': None}, 'wagonId': None, 'codeITU': '40', 'grossWeight': 42000, 'isEmpty': True, 'sealIndicator': 'Precxx3234', 'goods': [{'package': {'numberOfPackages': 26, 'shippingMark': 'bridgestones', 'packagingType': None}, 'goodTypeCode': 'tires', 'goodDescription': 'finished rubber tires', 'cargoType': 'Pallets', 'idNumberList': ['21321'], 'goodWeight': 0.0, 'goodGrossMass': 23000.0, 'goodSize': 12, 'temperature': None, 'dangerousGoods': False, 'dangerousGoodsDescription': None, 'damageRemarks': None}], 'damageRemarks': 'string', 'city': {'name': None, 'cityLoCode': 'ES MAD'}, 'country': None, 'dangerousEquipment': False, 'dangerousEquipmentDescription': None}], 'documents': [], 'externalReferences': [{'type': 'shipment_reference', 'id': 'BL112233', 'endPoint': None}]}"
message.externalShipmentId,label,externalShipmentId
message.externalShipmentId,value,ES24D44444444FXHCUHCT
message.contractCarriageCondition,label,contractCarriageCondition
message.contractCarriageCondition,value,NA
message.involvedActors,label,involvedActors
message.involvedActors,value,"[{'actorAddress': None, 'actorId': 'D44444444', 'actorName': 'Company D', 'actorRoles': ['LogisticRoles_TransportOperator'], 'actorWebSite': None, 'actorEmail': 'Simple4shipment@gmail.com', 'actorPhoneNumber': None}, {'actorAddress': None, 'actorId': 'A11111111', 'actorName': 'Company B', 'actorRoles': ['LogisticRoles_Consignor'], 'actorWebSite': None, 'actorEmail': None, 'actorPhoneNumber': None}, {'actorAddress': None, 'actorId': 'B22222222', 'actorName': 'Company A', 'actorRoles': ['LogisticRoles_Consignee'], 'actorWebSite': None, 'actorEmail': 'Juavie10@gmail.com', 'actorPhoneNumber': None}, {'actorAddress': None, 'actorId': 'C33333333', 'actorName': 'Company C', 'actorRoles': ['LogisticRoles_DispatchParty'], 'actorWebSite': None, 'actorEmail': None, 'actorPhoneNumber': None}]"
message.involvedActors[0],label,involvedActors[0]
message.involvedActors[0],value,"{'actorAddress': None, 'actorId': 'D44444444', 'actorName': 'Company D', 'actorRoles': ['LogisticRoles_TransportOperator'], 'actorWebSite': None, 'actorEmail': 'Simple4shipment@gmail.com', 'actorPhoneNumber': None}"
message.involvedActors[0].actorId,label,actorId
message.involvedActors[0].actorId,value,D44444444
message.involvedActors[0].actorName,label,actorName
message.involvedActors[0].actorName,value,Company D
message.involvedActors[0].actorRoles,label,actorRoles
message.involvedActors[0].actorRoles,value,['LogisticRoles_TransportOperator']
message.involvedActors[0].actorRoles[0],label,actorRoles[0]
message.involvedActors[0].actorRoles[0],value,LogisticRoles_TransportOperator
message.involvedActors[0].actorEmail,label,actorEmail
message.involvedActors[0].actorEmail,value,Simple4shipment@gmail.com
message.involvedActors[1],label,involvedActors[1]
message.involvedActors[1],value,"{'actorAddress': None, 'actorId': 'A11111111', 'actorName': 'Company B', 'actorRoles': ['LogisticRoles_Consignor'], 'actorWebSite': None, 'actorEmail': None, 'actorPhoneNumber': None}"
message.involvedActors[1].actorId,label,actorId
message.involvedActors[1].actorId,value,A11111111
message.involvedActors[1].actorName,label,actorName
message.involvedActors[1].actorName,value,Company B
message.involvedActors[1].actorRoles,label,actorRoles
message.involvedActors[1].actorRoles,value,['LogisticRoles_Consignor']
message.involvedActors[1].actorRoles[0],label,actorRoles[0]
message.involvedActors[1].actorRoles[0],value,LogisticRoles_Consignor
message.involvedActors[2],label,involvedActors[2]
message.involvedActors[2],value,"{'actorAddress': None, 'actorId': 'B22222222', 'actorName': 'Company A', 'actorRoles': ['LogisticRoles_Consignee'], 'actorWebSite': None, 'actorEmail': 'Juavie10@gmail.com', 'actorPhoneNumber': None}"
message.involvedActors[2].actorId,label,actorId
message.involvedActors[2].actorId,value,B22222222
message.involvedActors[2].actorName,label,actorName
message.involvedActors[2].actorName,value,Company A
message.involvedActors[2].actorRoles,label,actorRoles
message.involvedActors[2].actorRoles,value,['LogisticRoles_Consignee']
message.involvedActors[2].actorRoles[0],label,actorRoles[0]
message.involvedActors[2].actorRoles[0],value,LogisticRoles_Consignee
message.involvedActors[2].actorEmail,label,actorEmail
